system   W            wsystem.c:504  load_library_at_path             [   0.00035] Failed to load C:\Users\BRAD\Dropbox\Grand Tale\Game\Tools\GTMod2Extreme\bin\d3d9.dll (error: 126)
system   I            wsystem.c:497  load_library_at_path             [   0.00250] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:866  _al_d3d_init_display             [   0.00844] Render-to-texture: 1
system   I             system.c:238  al_install_system                [   0.00847] Allegro version: 5.0.0 (RC4)
d3d      I         d3d_disp.cpp:1907 d3d_create_display_locked        [   0.01269] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.01721] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01724] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01725] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01726] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01728] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01729] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01730] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01732] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01733] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01734] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01736] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01737] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01738] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01740] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01741] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01742] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01744] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01745] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01747] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01748] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01749] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01751] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01752] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01753] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01755] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01756] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01757] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01759] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01760] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01761] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01763] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01764] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01765] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01767] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01768] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01769] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.01774] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01776] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01777] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01779] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01780] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01781] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01783] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01784] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01785] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01787] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01788] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01789] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01791] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01792] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01794] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01795] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01796] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01798] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01799] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01800] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01802] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01803] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01804] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01806] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01807] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01808] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01810] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01811] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01813] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01814] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01815] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01817] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01818] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01819] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01821] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01822] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.01824] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01825] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01826] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01828] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01829] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01830] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01831] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01833] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01834] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01835] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01837] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01838] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01839] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01841] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01842] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01843] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01845] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01846] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01847] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01849] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01850] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01851] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01853] Score is : 609
