display  D   display_settings.c:486  _al_score_display_settings       [   0.02911] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02912] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02913] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02914] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02915] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02917] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02918] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02919] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02920] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02921] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02922] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02924] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02926] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02927] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02928] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02929] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02930] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02931] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02933] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02934] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02935] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02936] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02937] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02939] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02940] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02941] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02943] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02944] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02945] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02946] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02947] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02949] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02950] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02951] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02952] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02953] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02955] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02956] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02957] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02958] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02959] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02961] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02962] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02963] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.02964] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02965] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02967] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02968] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02969] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02970] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02971] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02973] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02974] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02975] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02976] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02977] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02979] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02980] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02981] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02982] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02983] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02985] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02986] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02987] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02988] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02989] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02991] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02992] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02993] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02994] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02995] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02997] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02998] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02999] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03002] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03003] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03004] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03005] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03007] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03008] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03009] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03010] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03012] Single Buffer requirement not met.
