display  D   display_settings.c:486  _al_score_display_settings       [   2.79507] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79508] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79509] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79510] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79512] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   2.79513] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   2.79514] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   2.79515] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   2.79516] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   2.79518] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   2.79519] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   2.79520] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   2.79521] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   2.79522] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   2.79524] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   2.79525] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   2.79526] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   2.79527] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   2.79528] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   2.79530] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   2.79531] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   2.79532] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   2.79533] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   2.79534] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   2.79536] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   2.79537] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   2.79538] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   2.79539] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   2.79540] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   2.79542] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   2.79543] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   2.79544] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   2.79545] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   2.79546] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   2.79548] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   2.79549] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   2.79550] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   2.79551] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   2.79552] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   2.79554] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   2.79555] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   2.79556] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   2.79557] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   2.79559] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   2.79560] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   2.79561] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79562] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79563] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79565] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79566] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79567] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79568] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79569] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79571] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79572] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79573] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79574] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79575] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79577] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79578] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79579] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79580] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79582] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79583] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   2.79584] Single Buffer requirement not met.
