display  D   display_settings.c:486  _al_score_display_settings       [   0.01511] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01513] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01515] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01517] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01518] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01520] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01522] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01524] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01526] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01528] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01530] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01532] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01534] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01536] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01538] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01540] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01543] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01547] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01549] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01551] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01553] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01555] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01557] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01559] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01561] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01563] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01565] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01567] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01568] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01570] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01572] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01574] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01576] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01578] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01580] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01582] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01584] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01586] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01589] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01591] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01593] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01595] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01597] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01599] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.01601] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01603] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01605] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01609] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01611] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01613] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01615] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01617] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01619] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01621] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01623] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01625] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01627] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01629] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01631] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01633] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01635] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01637] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01639] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01641] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01643] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01646] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01650] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01652] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01654] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01656] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01658] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01660] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01662] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01671] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01673] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01675] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01677] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01679] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01681] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01683] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01685] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01687] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01689] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01691] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01693] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01695] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01697] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01699] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01701] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.01704] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01709] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01711] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01713] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01715] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01717] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01718] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01720] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01722] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01724] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01726] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01728] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01730] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01732] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01734] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01736] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01738] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01739] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01741] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01744] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01746] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01748] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01750] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01752] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01755] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01756] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01758] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01760] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01762] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01764] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01766] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01768] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01770] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01772] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01773] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01775] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01777] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01779] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01781] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01783] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01785] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01787] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01788] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01790] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01792] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01794] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01796] Score is : 713
