display  D   display_settings.c:486  _al_score_display_settings       [   0.03797] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03798] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03799] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03800] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03802] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03803] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03804] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03805] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03806] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03807] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03808] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03810] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03811] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03812] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03813] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03814] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03815] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03817] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03818] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03819] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03820] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03821] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03822] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03824] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03825] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03826] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03828] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03829] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03830] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03831] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03833] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03834] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03835] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03836] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03837] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03839] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.03840] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.03841] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.03842] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.03843] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.03845] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.03846] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.03847] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.03848] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.03849] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03850] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03852] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03853] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03854] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03855] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03856] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03857] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03859] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03860] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03861] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03862] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03863] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03864] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03865] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03867] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03868] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03869] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03870] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03871] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03873] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03874] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03875] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03876] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03877] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03878] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03880] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03881] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03882] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03883] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03885] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03887] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03888] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03889] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03890] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03891] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03893] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03894] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03895] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03896] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03897] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03898] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03900] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03901] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03902] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.03903] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03904] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03906] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03907] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03908] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03909] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03910] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.03911] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03913] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03914] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03915] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03916] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03917] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03918] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03919] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03921] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03922] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03923] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03924] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03925] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03927] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03928] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03930] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03931] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03932] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03933] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03934] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03936] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03937] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03938] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03939] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03940] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03941] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03942] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03944] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03945] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03946] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03947] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03948] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03949] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03950] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03951] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03953] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03954] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03955] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03956] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03957] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03958] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03959] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03961] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03962] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03963] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03964] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03965] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03966] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.03968] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.03969] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.03971] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.03972] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.03973] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.03974] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.03975] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.03976] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.03978] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03979] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03980] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03981] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03983] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03984] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03985] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03986] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03987] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03988] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03990] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03991] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03992] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03993] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03994] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03996] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03997] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.03998] Single Buffer requirement not met.
