display  D   display_settings.c:486  _al_score_display_settings       [   0.01923] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01925] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01927] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01929] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01930] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01932] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01934] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01937] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01939] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01941] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01943] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01945] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01947] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01949] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01951] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01953] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01955] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01957] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01959] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01961] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01963] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01965] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01967] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01969] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01971] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01973] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01975] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01977] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01979] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01980] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01982] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01984] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01986] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01988] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01990] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01992] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01994] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01996] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01998] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02000] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02002] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02004] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02006] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02008] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.02010] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02013] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02015] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02017] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02019] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02021] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02024] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02026] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02028] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02030] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02032] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02035] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02037] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02039] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02041] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02043] Single Buffer requirement not met.
